NO,TYPE,DEFINE1,DEFINE2
885,GPA26YU8150_B,,
886,GPA28YU8150_B,,
887,GPA30YU8150_B,,
888,GPA32YU8150_B,,
889,GPA34YU8150_B,,
890,GPA36YU8150_B,,
891,GPA38YU8150_B,,
892,GPA40YU8150_B,,
893,GPA44YU8150_B,,
894,GPA48YU8150_B,,
895,GPA50YU8150_B,,
896,GPA60YU8150_B,,
897,GPA20YU8200_B,,
898,GPA22YU8200_B,,
899,GPA24YU8200_B,,
900,GPA25YU8200_B,,
901,GPA26YU8200_B,,
902,GPA28YU8200_B,,
903,GPA30YU8200_B,,
904,GPA32YU8200_B,,
905,GPA34YU8200_B,,
906,GPA36YU8200_B,,
907,GPA38YU8200_B,,
908,GPA40YU8200_B,,
909,GPA44YU8200_B,,
910,GPA48YU8200_B,,
911,GPA50YU8200_B,,
912,GPA60YU8200_B,,
913,GPA20YU8250_B,,
914,GPA22YU8250_B,,
915,GPA24YU8250_B,,
916,GPA25YU8250_B,,
917,GPA26YU8250_B,,
918,GPA28YU8250_B,,
919,GPA30YU8250_B,,
920,GPA32YU8250_B,,
921,GPA34YU8250_B,,
922,GPA36YU8250_B,,
923,GPA38YU8250_B,,
924,GPA40YU8250_B,,
